topN	RERANKING_SIMILARITY	RERANKING_GLOBAL_POPULARITY	RERANKING_LOCAL_POPULARITY	RERANKING_READABILITY_AND_POPULARITY	RERANKING_READABILITY_AND_SIMILARITY_FILTERED	RERANKING_READABILITY_AND_SIMILARITY_FUSIONED_0.0	RERANKING_READABILITY_AND_SIMILARITY_FUSIONED_0.2	RERANKING_READABILITY_AND_SIMILARITY_FUSIONED_0.8
1	7888	1957	6266	8145	8693	2894	7892	7891
2	11474	3675	9412	12033	12703	5015	11471	11472
3	13478	5278	11233	14035	14920	6689	13471	13474
4	14734	6837	12696	15565	16311	7917	14735	14735
5	15535	8109	13727	16785	17225	8823	15542	15541
6	16079	9859	14583	17598	17841	9511	16079	16080
7	16589	10706	15272	18264	18403	10196	16587	16589
8	16952	11513	15819	18747	18850	10808	16951	16953
9	17246	12093	16368	19175	19195	11328	17239	17246
10	17518	12527	16755	19507	19499	11914	17518	17518
